ingredients,instructions,time,title
"['2 (10 ounce) cans chunk chicken, drained', '2 (8 ounce) packages cream cheese, softened', '1 cup Ranch dressing', ""¾ cup pepper sauce (such as Frank's Red Hot&reg;)"", '1 ½ cups shredded Cheddar cheese', '1 bunch celery, cleaned and cut into 4 inch pieces', '1 (8 ounce) box chicken-flavored crackers']","Heat chicken and hot sauce in a skillet over medium heat, until heated through. Stir in cream cheese and ranch dressing. Cook, stirring until well blended and warm. Mix in half of the shredded cheese, and transfer the mixture to a slow cooker. Sprinkle the remaining cheese over the top, cover, and cook on Low setting until hot and bubbly. Serve with celery sticks and crackers.",45,Buffalo Chicken Dip
"['2 kiwis, peeled and diced', '2 Golden Delicious apples - peeled, cored and diced', '8 ounces raspberries', '1 pound strawberries', '2 tablespoons white sugar', '1 tablespoon brown sugar', '3 tablespoons fruit preserves, any flavor', '10 (10 inch) flour tortillas', 'butter flavored cooking spray', '2 tablespoons cinnamon sugar']","In a large bowl, thoroughly mix kiwis, Golden Delicious apples, raspberries, strawberries, white sugar, brown sugar and fruit preserves. Cover and chill in the refrigerator at least 15 minutes.
Preheat oven to 350 degrees F (175 degrees C).
Coat one side of each flour tortilla with butter flavored cooking spray. Cut into wedges and arrange in a single layer on a large baking sheet. Sprinkle wedges with desired amount of cinnamon sugar. Spray again with cooking spray.
Bake in the preheated oven 8 to 10 minutes. Repeat with any remaining tortilla wedges. Allow to cool approximately 15 minutes. Serve with chilled fruit mixture.",45,Annie's Fruit Salsa and Cinnamon Chips
"['12 whole fresh mushrooms', '1 tablespoon vegetable oil', '1 tablespoon minced garlic', '1 (8 ounce) package cream cheese, softened', '¼ cup grated Parmesan cheese', '¼ teaspoon ground black pepper', '¼ teaspoon onion powder', '¼ teaspoon ground cayenne pepper']","Preheat oven to 350 degrees F (175 degrees C). Spray a baking sheet with cooking spray. Clean mushrooms with a damp paper towel.  Carefully break off stems.  Chop stems extremely fine, discarding tough end of stems.
Heat oil in a large skillet over medium heat. Add garlic and chopped mushroom stems to the skillet. Fry until any moisture has disappeared, taking care not to burn garlic.  Set aside to cool.
When garlic and mushroom mixture is no longer hot, stir in cream cheese, Parmesan cheese, black pepper, onion powder and cayenne pepper.  Mixture should be very thick. Using a little spoon, fill each mushroom cap with a generous amount of stuffing. Arrange the mushroom caps on prepared cookie sheet.
Bake for 20 minutes in the preheated oven, or until the mushrooms are piping hot and liquid starts to form under caps.",45,Mouth-Watering Stuffed Mushrooms
"['2 (8 ounce) packages cream cheese, softened', '1 cup mayonnaise', '1 (4 ounce) can chopped green chilies, drained', '2 ounces canned diced jalapeno peppers, drained', '1 cup grated Parmesan cheese']","Stir together cream cheese and mayonnaise in a large bowl until smooth. Stir in green chiles and jalapeno peppers. Pour mixture into a microwave safe serving dish, and sprinkle with Parmesan cheese.
Microwave on High until hot, about 3 minutes.",13,Jalapeno Popper Spread
"['½ cup all-purpose flour', '¼ teaspoon paprika', '¼ teaspoon cayenne pepper', '¼ teaspoon salt', '10 chicken wings', 'oil for deep frying', '¼ cup butter', '¼ cup hot sauce', '1 dash ground black pepper', '1 dash garlic powder']","In a small bowl mix together the flour, paprika, cayenne pepper and salt. Place chicken wings in a large nonporous glass dish or bowl and sprinkle flour mixture over them until they are evenly coated. Cover dish or bowl and refrigerate for 60 to 90 minutes.
Heat oil in a deep fryer to 375 degrees F (190 degrees C). The oil should be just enough to cover wings entirely, an inch or so deep. Combine the butter, hot sauce, pepper and garlic powder in a small saucepan over low heat. Stir together and heat until butter is melted and mixture is well blended. Remove from heat and reserve for serving.
Fry coated wings in hot oil for 10 to 15 minutes, or until parts of wings begin to turn brown. Remove from heat, place wings in serving bowl, add hot sauce mixture and stir together. Serve.",120,Restaurant-Style Buffalo Chicken Wings
"['6 roma (plum) tomatoes, chopped', '½ cup sun-dried tomatoes, packed in oil', '3 cloves minced garlic', '¼ cup olive oil', '2 tablespoons balsamic vinegar', '¼ cup fresh basil, stems removed', '¼ teaspoon salt', '¼ teaspoon ground black pepper', '1 French baguette', '2 cups shredded mozzarella cheese']","Preheat the oven on broiler setting.
In a large bowl, combine the roma tomatoes, sun-dried tomatoes, garlic, olive oil, vinegar, basil, salt, and pepper. Allow the mixture to sit for 10 minutes.
Cut the baguette into 3/4-inch slices. On a baking sheet, arrange the baguette slices in a single layer. Broil for 1 to 2 minutes, until slightly brown.
Divide the tomato mixture evenly over the baguette slices. Top the slices with mozzarella cheese.
Broil for 5 minutes, or until the cheese is melted.",35,Double Tomato Bruschetta
"['1 (8 ounce) package cream cheese, softened', '¼ cup mayonnaise', '¼ cup grated Parmesan cheese', '¼ cup grated Romano cheese', '1 clove garlic, peeled and minced', '½ teaspoon dried basil', '¼ teaspoon garlic salt', 'salt and pepper to taste', '1 (14 ounce) can artichoke hearts, drained and chopped', '½ cup frozen chopped spinach, thawed and drained', '¼ cup shredded mozzarella cheese']","Preheat oven to 350 degrees F (175 degrees C). Lightly grease a small baking dish.
In a medium bowl, mix together cream cheese, mayonnaise, Parmesan cheese, Romano cheese, garlic, basil, garlic salt, salt and pepper. Gently stir in artichoke hearts and spinach.
Transfer the mixture to the prepared baking dish. Top with mozzarella cheese. Bake in the preheated oven 25 minutes, until bubbly and lightly browned.",40,Hot Artichoke and Spinach Dip II
"['4 cloves garlic', '1 (10 ounce) package frozen chopped spinach, thawed and drained', '1 (14 ounce) can artichoke hearts, drained and chopped', '1 (10 ounce) container Alfredo-style pasta sauce', '1 cup shredded mozzarella cheese', '⅓ cup grated Parmesan cheese', '½ (8 ounce) package cream cheese, softened']","Preheat oven to 350 degrees F (175 degrees C).
Place garlic in a small baking dish. Bake in the preheated oven 20 to 30  minutes, until soft. Remove from heat. When cool enough to touch, squeeze softened garlic from skins.
In an 8x8 inch baking dish, spread the roasted garlic, spinach, artichoke hearts, Alfredo-style pasta sauce, mozzarella cheese, Parmesan cheese, and cream cheese.
Bake in the preheated oven 30 minutes, or until cheeses are melted and bubbly. Serve warm.",75,Artichoke & Spinach Dip Restaurant Style
"['1 (1 ounce) package taco seasoning mix', '1 (16 ounce) can refried beans', '1 (8 ounce) package cream cheese, softened', '1 (16 ounce) container sour cream', '1 (16 ounce) jar salsa', '1 large tomato, chopped', '1 green bell pepper, chopped', '1 bunch chopped green onions', '1 small head iceberg lettuce, shredded', '1 (6 ounce) can sliced black olives, drained', '2 cups shredded Cheddar cheese']","In a medium bowl, blend the taco seasoning mix and refried beans. Spread the mixture onto a large serving platter.
Mix the sour cream and cream cheese in a medium bowl. Spread over the refried beans.
Top the layers with salsa. Place a layer of tomato, green bell pepper, green onions and lettuce over the salsa, and top with Cheddar cheese. Garnish with black olives.",30,Seven Layer Taco Dip
"['16 Boston Bibb or butter lettuce leaves', '1 pound lean ground beef', '1 tablespoon cooking oil', '1 large onion, chopped', '¼ cup hoisin sauce', '2 cloves fresh garlic, minced', '1 tablespoon soy sauce', '1 tablespoon rice wine vinegar', '2 teaspoons minced pickled ginger', '1 dash Asian chile pepper sauce, or to taste (optional)', '1 (8 ounce) can water chestnuts, drained and finely chopped', '1 bunch green onions, chopped', '2 teaspoons Asian (dark) sesame oil']","Rinse whole lettuce leaves and pat dry, being careful not tear them. Set aside.
Heat a large skillet over medium-high heat. Cook and stir beef and cooking oil in the hot skillet until browned and crumbly, 5 to 7 minutes. Drain and discard grease; transfer beef to a bowl. Cook and stir onion in the same skillet used for beef until slightly tender, 5 to 10 minutes. Stir hoisin sauce, garlic, soy sauce, vinegar, ginger, and chile pepper sauce into onions. Add water chestnuts, green onions, sesame oil, and cooked beef; cook and stir until the onions just begin to wilt, about 2 minutes.
Arrange lettuce leaves around the outer edge of a large serving platter and pile meat mixture in the center.",35,Asian Lettuce Wraps
"['1 pound bacon', '1 (16 ounce) package little smokie sausages', '1 cup brown sugar, or to taste']","Preheat oven to 350 degrees F (175 degrees C).
Cut bacon into thirds and wrap each strip around a little sausage. Place the wrapped sausages on wooden skewers, several to a skewer. Arrange the skewers on a baking sheet and sprinkle them liberally with brown sugar.
Bake until bacon is crisp and the brown sugar melted.",30,Brown Sugar Smokies
"['1 bunch kale', '1 tablespoon olive oil', '1 teaspoon seasoned salt']","Preheat an oven to 350 degrees F (175 degrees C). Line a non insulated cookie sheet with parchment paper.
With a knife or kitchen shears carefully remove the leaves from the thick stems and tear into bite size pieces. Wash and thoroughly dry kale with a salad spinner. Drizzle kale with olive oil and sprinkle with seasoning salt.
Bake until the edges brown but are not burnt, 10 to 15 minutes.",20,Baked Kale Chips
"['1 egg white', '1 tablespoon water', '1 pound pecan halves', '1 cup white sugar', '¾ teaspoon salt', '½ teaspoon ground cinnamon']","Preheat oven to 250 degrees F (120 degrees C). Grease one baking sheet.
In a mixing bowl, whip together the egg white and water until frothy. In a separate bowl, mix together sugar, salt, and cinnamon.
Add pecans to egg whites, stir to coat the nuts evenly. Remove the nuts, and toss them in the sugar mixture until coated. Spread the nuts out on the prepared baking sheet.
Bake at 250 degrees F (120 degrees C) for 1 hour. Stir every 15 minutes.",0,Sugar Coated Pecans
"['2 cups canned garbanzo beans, drained', '⅓ cup tahini', '¼ cup lemon juice', '1 teaspoon salt', '2 cloves garlic, halved', '1 tablespoon olive oil', '1 pinch paprika', '1 teaspoon minced fresh parsley']","Place the garbanzo beans, tahini, lemon juice, salt and garlic in a blender or food processor. Blend until smooth. Transfer mixture to a serving bowl.
Drizzle olive oil over the garbanzo bean mixture. Sprinkle with paprika and parsley.",10,Hummus III
"['1 egg', '½ cup all-purpose flour', '⅔ cup beer', '1 ½ teaspoons baking powder', '¼ cup all-purpose flour', '2 cups flaked coconut', '24 shrimp', '3 cups oil for frying']","In medium bowl, combine egg, 1/2 cup flour, beer and baking powder. Place 1/4 cup flour and coconut in two separate bowls.
Hold shrimp by tail, and dredge in flour, shaking off excess flour. Dip in egg/beer batter; allow excess to drip off. Roll shrimp in coconut, and place on a baking sheet lined with wax paper. Refrigerate for 30 minutes. Meanwhile, heat oil to 350 degrees F (175 degrees C) in a deep-fryer.
Fry shrimp in batches: cook, turning once, for 2 to 3 minutes, or until golden brown. Using tongs, remove shrimp to paper towels to drain. Serve warm with your favorite dipping sauce.",60,Coconut Shrimp I
"['1 pound lean ground beef', '1 egg', '2 tablespoons water', '½ cup bread crumbs', '3 tablespoons minced onion', '1 (8 ounce) can jellied cranberry sauce', '¾ cup chili sauce', '1 tablespoon brown sugar', '1 ½ teaspoons lemon juice']","Preheat oven to 350 degrees F (175 degrees C).
In a large bowl, mix together the ground beef, egg, water, bread crumbs, and minced onion. Roll into small meatballs.
Bake in preheated oven for 20 to 25 minutes, turning once.
In a slow cooker or large saucepan over low heat, blend the cranberry sauce, chili sauce, brown sugar, and lemon juice. Add meatballs, and simmer for 1 hour before serving.",105,Cocktail Meatballs
"['2 cups rolled oats', '¾ cup packed brown sugar', '½ cup wheat germ', '¾ teaspoon ground cinnamon', '1 cup all-purpose flour', '¾ cup raisins (optional)', '¾ teaspoon salt', '½ cup honey', '1 egg, beaten', '½ cup vegetable oil', '2 teaspoons vanilla extract']","Preheat the oven to 350 degrees F (175 degrees C). Generously grease a 9x13 inch baking pan.
In a large bowl, mix together the oats, brown sugar, wheat germ, cinnamon, flour, raisins and salt. Make a well in the center, and pour in the honey, egg, oil and vanilla. Mix well using your hands. Pat the mixture evenly into the prepared pan.
Bake for 30 to 35 minutes in the preheated oven, until the bars begin to turn golden at the edges. Cool for 5 minutes, then cut into bars while still warm. Do not allow the bars to cool completely before cutting, or they will be too hard to cut.",50,Playgroup Granola Bars
"['1 pound sliced bacon, cut into thirds', '1 (14 ounce) package beef cocktail wieners', '¾ cup brown sugar, or to taste']","Preheat the oven to 325 degrees F (165 degrees C).
Refrigerate 2/3 of the bacon until needed. It is easier to wrap the wieners with cold bacon. Wrap each cocktail wiener with a piece of bacon and secure with a toothpick. Place on a large baking sheet. Sprinkle brown sugar generously over all.
Bake for 40 minutes in the preheated oven, until the sugar is bubbly. To serve, place the wieners in a slow cooker and keep on the low setting.",90,Bacon Wrapped Smokies
"['1 cup olive oil', '¼ cup chopped fresh parsley', '1 lemon, juiced', '2 tablespoons hot pepper sauce', '3 cloves garlic, minced', '1 tablespoon tomato paste', '2 teaspoons dried oregano', '1 teaspoon salt', '1 teaspoon ground black pepper', '2 pounds large shrimp, peeled and deveined with tails attached', 'skewers']","In a mixing bowl, mix together olive oil, parsley, lemon juice, hot sauce, garlic, tomato paste, oregano, salt, and black pepper. Reserve a small amount for basting later. Pour remaining marinade into a large resealable plastic bag with shrimp. Seal, and marinate in the refrigerator for 2 hours.
Preheat grill for medium-low heat. Thread shrimp onto skewers, piercing once near the tail and once near the head. Discard marinade.
Lightly oil grill grate. Cook shrimp for 5 minutes per side, or until opaque, basting frequently with reserved marinade.",160,Grilled Marinated Shrimp
"['2 tablespoons vegetable oil', '1 skinless, boneless chicken breast half', '2 tablespoons minced green onion', '2 tablespoons minced red bell pepper', '⅓ cup frozen corn kernels', '¼ cup black beans, rinsed and drained', '2 tablespoons frozen chopped spinach, thawed and drained', '2 tablespoons diced jalapeno peppers', '½ tablespoon minced fresh parsley', '½ teaspoon ground cumin', '½ teaspoon chili powder', '⅓ teaspoon salt', '1 pinch ground cayenne pepper', '¾ cup shredded Monterey Jack cheese', '5 (6 inch) flour tortillas', '1 quart oil for deep frying']","Rub 1 tablespoon vegetable oil over chicken breast. In a medium saucepan over medium heat, cook chicken approximately 5 minutes per side, until meat is no longer pink and juices run clear. Remove from heat and set aside.
Heat remaining 1 tablespoon vegetable oil in a medium saucepan over medium heat. Stir in green onion and red pepper. Cook and stir 5 minutes, until tender.
Dice chicken and mix into the pan with onion and red pepper. Mix in corn, black beans, spinach, jalapeno peppers, parsley, cumin, chili powder, salt and cayenne pepper. Cook and stir 5 minutes, until well blended and tender. Remove from heat and stir in Monterey Jack cheese so that it melts.
Wrap tortillas with a clean, lightly moist cloth. Microwave on high approximately 1 minute, or until hot and pliable.
Spoon even amounts of the mixture into each tortilla. Fold ends of tortillas, then roll tightly around mixture. Secure with toothpicks. Arrange in a medium dish, cover with plastic, and place in the freezer. Freeze at least 4 hours.
In a large, deep skillet, heat oil for deep frying to 375 degrees F (190 degrees C). Deep fry frozen, stuffed tortillas 10 minutes each, or until dark golden brown. Drain on paper towels before serving.",272,Southwestern Egg Rolls
"['1 (15 ounce) can black-eyed peas', '1 (15 ounce) can black beans, rinsed and drained', '1 (15 ounce) can whole kernel corn, drained', '½ cup chopped onion', '½ cup chopped green bell pepper', '1 (4 ounce) can diced jalapeno peppers', '1 (14.5 ounce) can diced tomatoes, drained', '1 cup Italian-style salad dressing', '½ teaspoon garlic salt']","In a medium bowl, combine black-eyed peas, black beans, corn, onion, green bell pepper, jalapeno peppers and tomatoes. Season with Italian-style salad dressing and garlic salt; mix well. Cover, and refrigerate overnight to blend flavors.",490,Spicy Bean Salsa
"['¼ cup vegetable oil', '¼ cup white sugar', '½ cup unpopped popcorn kernels']","Heat the vegetable oil in a large pot over medium heat. Once hot, stir in the sugar and popcorn. Cover, and shake the pot constantly to keep the sugar from burning. Once the popping has slowed to once every 2 to 3 seconds, remove the pot from the heat and continue to shake for a few minutes until the popping has stopped. Pour into a large bowl, and allow to cool, stirring occasionally to break up large clumps.",20,Kettle Corn
"['12 eggs', '½ cup mayonnaise', '4 slices bacon', '2 tablespoons finely shredded Cheddar cheese', '1 tablespoon mustard']","Place eggs in a saucepan, and cover with cold water. Bring water to a boil and immediately remove from heat. Cover, and let eggs stand in hot water for 10 to 12 minutes. Remove from hot water, and cool. To cool more quickly, rinse eggs under cold running water.
Meanwhile, place bacon in a large, deep skillet. Cook over medium-high heat until evenly brown. Alternatively, wrap bacon in paper towels and cook in the microwave for about 1 minute per slice. Crumble and set aside.
Peel the hard-cooked eggs, and cut in half lengthwise. Remove yolks to a small bowl. Mash egg yolks with mayonnaise, crumbled bacon and cheese. Stir in mustard. Fill egg white halves with the yolk mixture and refrigerate until serving.",40,Bacon Cheddar Deviled Eggs
"['¾ cup all-purpose flour', '½ teaspoon cayenne pepper', '½ teaspoon garlic powder', '½ teaspoon salt', '20 chicken wings', '½ cup melted butter', ""½ cup hot pepper sauce (such as Frank's RedHot&reg;)""]","Line a baking sheet with aluminum foil, and lightly grease with cooking spray. Place the flour, cayenne pepper, garlic powder, and salt into a resealable plastic bag, and shake to mix. Add the chicken wings, seal, and toss until well coated with the flour mixture. Place the wings onto the prepared baking sheet, and place into the refrigerator. Refrigerate at least 1 hour.
Preheat oven to 400 degrees F (200 degrees C).
Whisk together the melted butter and hot sauce in a small bowl. Dip the wings into the butter mixture, and place back on the baking sheet. Bake in the preheated oven until the chicken is no longer pink in the center, and crispy on the outside, about 45 minutes. Turn the wings over halfway during cooking so they cook evenly.",120,Baked Buffalo Wings
"['3 pounds chicken wings', '1 egg, lightly beaten', '1 cup all-purpose flour for coating', '1 cup butter', '3 tablespoons soy sauce', '3 tablespoons water', '1 cup white sugar', '½ cup white vinegar', '½ teaspoon garlic powder, or to taste', '1 teaspoon salt']","Preheat oven to 350 degrees F (175 degrees C).
Cut wings in half, dip in egg and coat with flour.
Heat butter in a large, deep skillet over medium-high heat.  Fry wings until deep brown.  Place in a shallow roasting pan.
In a small bowl combine soy sauce, water, sugar, vinegar, garlic powder and salt.  Pour over wings.
Bake in preheated oven for 30 to 45 minutes, basting wings with sauce often.",60,Japanese Chicken Wings
"['6 fresh jalapeno peppers, halved lengthwise and seeded', '1 (8 ounce) package cream cheese', '12 slices bacon']","Preheat an outdoor grill for high heat.
Spread cream cheese to fill jalapeno halves. Wrap with bacon. Secure with a toothpick.
Place on the grill, and cook until bacon is crispy.",20,Grilled Bacon Jalapeno Wraps
"['1 cup mayonnaise', '1 (16 ounce) container sour cream', '1 (1.8 ounce) package dry leek soup mix', '1 (4 ounce) can water chestnuts, drained and chopped', '½ (10 ounce) package frozen chopped spinach, thawed and drained', '1 (1 pound) loaf round sourdough bread']","In a medium bowl, mix together mayonnaise, sour cream, dry leek soup mix, water chestnuts and chopped spinach. Chill in the refrigerator 6 hours, or overnight.
Remove top and interior of sourdough bread. Fill with mayonnaise mixture. Tear removed bread chunks into pieces for dipping.",375,Best Spinach Dip Ever
"['1 (10 ounce) package spinach, rinsed and chopped', '1 cup all-purpose flour', '1 teaspoon salt', '1 teaspoon baking powder', '2 eggs', '1 cup milk', '½ cup butter, melted', '1 onion, chopped', '1 (8 ounce) package shredded mozzarella cheese']","Preheat oven to 375  degrees F (190 degrees C). Lightly grease a 9x13 inch baking dish.
Place spinach in a medium saucepan with enough water to cover. Bring to a boil. Lower heat to simmer and cook until spinach is limp, about 3 minutes. Remove from heat, drain, and set aside.
In a large bowl, mix flour, salt and baking powder. Stir in eggs, milk and butter. Mix in spinach, onion and mozzarella cheese.
Transfer the mixture to the prepared baking dish. Bake in the preheated oven 30 to 35 minutes, or until a toothpick inserted in the center comes out clean. Cool before serving.",55,Spinach Brownies
"['1 (8 ounce) package cream cheese, softened', '½ cup butter, softened', ""¾ cup confectioners' sugar"", '2 tablespoons brown sugar', '¼ teaspoon vanilla extract', '¾ cup miniature semisweet chocolate chips', '¾ cup finely chopped pecans']","In a medium bowl, beat together cream cheese and butter until smooth. Mix in confectioners' sugar, brown sugar and vanilla. Stir in chocolate chips. Cover, and chill in the refrigerator for 2 hours.
Shape chilled cream cheese mixture into a ball. Wrap with plastic, and chill in the refrigerator for 1 hour.
Roll the cheese ball in finely chopped pecans before serving.",200,Chocolate Chip Cheese Ball
"['1 (10 ounce) package frozen chopped spinach - thawed, drained and squeezed dry', '1 (14 ounce) can artichoke hearts, drained and chopped', '3 cloves garlic, minced', '½ cup mayonnaise', '2 (8 ounce) packages cream cheese, softened', '2 tablespoons lemon juice', '1 cup grated Parmesan cheese']","Preheat oven to 375 degrees F (190 degrees C). Lightly grease a 7x11 inch baking dish.
In a medium bowl, mix together the cream cheese and mayonnaise until smooth.  Mix in the artichoke hearts, spinach and Parmesan cheese. Season with garlic and lemon juice. Spread evenly into the prepared baking dish.
Bake covered for 20 minutes. Remove the cover, and let the dish bake uncovered for 5 more minutes, or until the surface is lightly browned.",35,Florentine Artichoke Dip
"['1 ½ tablespoons margarine, melted', '½ teaspoon salt', '⅛ teaspoon garlic salt', '2 teaspoons Worcestershire sauce', '2 cups raw whole pumpkin seeds']","Preheat oven to 275 degrees F (135 degrees C).
Combine the margarine, salt, garlic salt, Worcestershire sauce and pumpkin seeds. Mix thoroughly and place in shallow baking dish.
Bake for 1 hour, stirring occasionally.",70,Spiced Pumpkin Seeds
